Ryze,Sejuani,Irelia,Ezreal,Alistar
Jayce,Jarvan IV,Azir,Tristana,Galio
Ryze,Sejuani,Irelia,Xayah,Rakan
Jayce,Jarvan IV,Viktor,Kai'Sa,Thresh
Vladimir,Olaf,Irelia,Sivir,Morgana
Jayce,Sejuani,Azir,Ezreal,Soraka
Kennen,Olaf,Akali,Lucian,Braum
Ryze,Jarvan IV,Jayce,Ezreal,Rakan
Ornn,Olaf,Akali,Vayne,Galio
Swain,Jarvan IV,Jayce,Ezreal,Tahm Kench
Vladimir,Trundle,Irelia,Kai'Sa,Morgana
Sejuani,Nocturne,Lissandra,Twitch,Galio
Vladimir,Sejuani,Irelia,Caitlyn,Morgana
Sion,Skarner,Azir,Tristana,Thresh
Kennen,Rek'Sai,Azir,Xayah,Rakan
Ryze,Kha'Zix,Corki,Ashe,Braum
Aatrox,Rengar,Corki,Veigar,Thresh
Ornn,Olaf,Viktor,Lucian,Braum
Kennen,Olaf,Irelia,Varus,Braum
Rumble,Kha'Zix,Zoe,Ezreal,Thresh
Akali,Olaf,Corki,Ezreal,Braum
Gangplank,Skarner,Viktor,Lucian,Rakan
Kennen,Rek'Sai,Zoe,Tristana,Braum
Vladimir,Skarner,Corki,Kai'Sa,Galio
Akali,Sejuani,Aatrox,Sivir,Braum
Jayce,Elise,Corki,Kai'Sa,Galio
Jarvan IV,Olaf,Zoe,Vayne,Braum
Hecarim,Skarner,Ryze,Ashe,Thresh
Irelia,Zac,Kayle,Varus,Tahm Kench
Riven,Skarner,Ryze,Vayne,Thresh
Vladimir,Rek'Sai,Irelia,Xayah,Rakan
Jarvan IV,Olaf,LeBlanc,Varus,Alistar
Gangplank,Gragas,Irelia,Sivir,Alistar
Ryze,Olaf,Karma,Varus,Tahm Kench
Ryze,Gragas,Yasuo,Caitlyn,Morgana
Irelia,Rek'Sai,Syndra,Xayah,Rakan
Urgot,Olaf,Nautilus,Kai'Sa,Thresh
Kennen,Kha'Zix,Corki,Veigar,Galio
Ryze,Nocturne,Taliyah,Ezreal,Thresh
Jayce,Elise,Yasuo,Kalista,Galio
Rumble,Kha'Zix,Akali,Xayah,Rakan
Poppy,Jarvan IV,Orianna,Lucian,Thresh
Aatrox,Skarner,Akali,Vayne,Braum
Poppy,Jarvan IV,Sylas,Tristana,Galio
Vladimir,Rek'Sai,Kayle,Sivir,Galio
Neeko,Sejuani,Zed,Taliyah,Pantheon
Cho'Gath,Trundle,Corki,Tristana,Braum
Irelia,Skarner,Kassadin,Lucian,Zilean
Ryze,Jarvan IV,Azir,Kalista,Galio
Kennen,Hecarim,Orianna,Kai'Sa,Thresh
Neeko,Lee Sin,Ryze,Sona,Taric
Kayle,Jarvan IV,Cassiopeia,Vayne,Janna
Poppy,Skarner,Azir,Lucian,Rakan
Vayne,Jarvan IV,Syndra,Yasuo,Braum
Gangplank,Hecarim,Morgana,Miss Fortune,Zilean
Ryze,Jarvan IV,Kayle,Ashe,Thresh
Ornn,Trundle,Ryze,Kai'Sa,Galio
Swain,Rek'Sai,Cho'Gath,Tristana,Thresh
Jayce,Nidalee,Azir,Neeko,Blitzcrank
Aatrox,Jarvan IV,Nautilus,Kai'Sa,Braum
Kennen,Kha'Zix,Corki,Ezreal,Thresh
Jarvan IV,Hecarim,Vladimir,Jinx,Tahm Kench
Vladimir,Rek'Sai,Ryze,Vayne,Thresh
Neeko,Gragas,Zed,Kai'Sa,Galio
Kennen,Olaf,Corki,Veigar,Pyke
Jarvan IV,Karthus,Kayle,Sona,Taric
Hecarim,Kha'Zix,Orianna,Kai'Sa,Thresh
Irelia,Lee Sin,Azir,Sivir,Morgana
Jayce,Taliyah,Ryze,Sivir,Alistar
Camille,Rek'Sai,Xerath,Ezreal,Braum
Irelia,Jarvan IV,Ryze,Kai'Sa,Morgana
Urgot,Hecarim,Corki,Lucian,Thresh
Irelia,Jarvan IV,Syndra,Kai'Sa,Alistar
Urgot,Trundle,Swain,Xayah,Rakan
Sion,Gragas,Corki,Kalista,Thresh
Vladimir,Hecarim,Irelia,Veigar,Galio
Ryze,Zac,Akali,Kai'Sa,Rakan
Gangplank,Lee Sin,Cassiopeia,Ezreal,Braum
Aatrox,Rek'Sai,Vladimir,Kai'Sa,Thresh
Urgot,Jarvan IV,Azir,Xayah,Rakan
Riven,Rek'Sai,Galio,Vayne,Morgana
Sion,Elise,Vladimir,Draven,Alistar
Kennen,Rek'Sai,Akali,Kai'Sa,Thresh
Vladimir,Jarvan IV,Orianna,Sivir,Braum
Akali,Skarner,Ryze,Varus,Galio
Cho'Gath,Rek'Sai,Kassadin,Kai'Sa,Alistar
Akali,Rengar,Zoe,Ezreal,Shen
Jarvan IV,Karthus,Jayce,Corki,Braum
Sion,Jarvan IV,Corki,Kai'Sa,Sona
Urgot,Lee Sin,Cassiopeia,Tristana,Taric
