Kayle,Rek'Sai,Akali,Ashe,Tahm Kench
Camille,Olaf,Ryze,Lucian,Braum
Kennen,Rek'Sai,Sylas,Lucian,Galio
Jayce,Lee Sin,LeBlanc,Ashe,Tahm Kench
Jayce,Rek'Sai,Zoe,Kai'Sa,Galio
Ryze,Jarvan IV,Lissandra,Lucian,Alistar
Jayce,Karthus,Lissandra,Lucian,Thresh
Ornn,Rek'Sai,Akali,Ezreal,Alistar
Akali,Elise,Taliyah,Kalista,Morgana
Jayce,Lee Sin,Azir,Vayne,Alistar
Jayce,Lee Sin,LeBlanc,Ezreal,Tahm Kench
Ryze,Jarvan IV,Syndra,Lucian,Lulu
Jayce,Lee Sin,Lissandra,Lucian,Morgana
Kennen,Jarvan IV,Aatrox,Ashe,Braum
Kennen,Olaf,Aatrox,Vayne,Braum
Lucian,Rek'Sai,Akali,Caitlyn,Morgana
Yorick,Kha'Zix,Zoe,Kalista,Galio
Kayle,Olaf,LeBlanc,Kog'Maw,Tahm Kench
Ornn,Rek'Sai,Morgana,Lucian,Shen
Jayce,Jarvan IV,Lissandra,Ezreal,Karma
Jayce,Elise,Lissandra,Vayne,Karma
Ornn,Jarvan IV,Corki,Viktor,Tahm Kench
Kayle,Rek'Sai,Lissandra,Ashe,Tahm Kench
Kennen,Jarvan IV,Taliyah,Lucian,Galio
Jayce,Jarvan IV,Corki,Kai'Sa,Galio
Akali,Rek'Sai,Lissandra,Lucian,Braum
Kayle,Gragas,Yasuo,Kalista,Braum
Aatrox,Rek'Sai,Morgana,Ezreal,Tahm Kench
Neeko,Jarvan IV,Morgana,Lucian,Braum
Ryze,Rek'Sai,Corki,Ashe,Tahm Kench
Aatrox,Elise,Sion,Kalista,Galio
Irelia,Jarvan IV,Lissandra,Vayne,Alistar
Jayce,Elise,Aatrox,Lucian,Alistar
Vladimir,Jarvan IV,Lissandra,Ezreal,Morgana
Akali,Jarvan IV,Lissandra,Kai'Sa,Gragas
Kennen,Camille,Ryze,Ezreal,Tahm Kench
Kennen,Rek'Sai,Ryze,Lucian,Shen
Aatrox,Lee Sin,Anivia,Kai'Sa,Alistar
Jayce,Elise,Galio,Lucian,Thresh
Ryze,Jarvan IV,Vayne,Ashe,Braum
Yorick,Jarvan IV,Taliyah,Kalista,Morgana
Jax,Rek'Sai,Lissandra,Varus,Braum
Jayce,Elise,LeBlanc,Ezreal,Tahm Kench
Yorick,Lee Sin,Ryze,Lucian,Rakan
Jayce,Elise,Swain,Xayah,Braum
Gnar,Jarvan IV,Lissandra,Lucian,Morgana
Aatrox,Elise,Sion,Kai'Sa,Galio
Kennen,Jarvan IV,Lissandra,Lucian,Braum
Neeko,Gragas,Yasuo,Ashe,Tahm Kench
Zed,Karthus,Kennen,Lucian,Braum
Ornn,Kindred,Ryze,Lucian,Braum
Neeko,Rek'Sai,Zoe,Ezreal,Shen
Ryze,Lee Sin,Aatrox,Jinx,Thresh
Fiora,Rek'Sai,Lissandra,Ezreal,Tahm Kench
Vladimir,Lee Sin,Lissandra,Xayah,Rakan
Irelia,Jarvan IV,Galio,Lucian,Braum
Neeko,Lee Sin,LeBlanc,Vayne,Tahm Kench
Irelia,Gragas,Zoe,Ezreal,Alistar
Ryze,Lee Sin,Zoe,Kalista,Alistar
Gnar,Olaf,Orianna,Ezreal,Tahm Kench
Akali,Xin Zhao,Lissandra,Vayne,Morgana
Gangplank,Rek'Sai,Ryze,Kog'Maw,Braum
Kennen,Rek'Sai,Lissandra,Ezreal,Tahm Kench
Aatrox,Jarvan IV,Galio,Draven,Thresh
Yorick,Lee Sin,Lissandra,Xayah,Rakan
Jayce,Jarvan IV,Ryze,Neeko,Morgana
Jax,Jarvan IV,Lissandra,Vayne,Morgana
Yorick,Zac,Zoe,Kalista,Nami
Gangplank,Karthus,Lissandra,Lucian,Rakan
Kennen,Jarvan IV,Taliyah,Ezreal,Braum
Aatrox,Jarvan IV,Orianna,Ezreal,Braum
Vladimir,Rek'Sai,Azir,Lucian,Nami
Vladimir,Gragas,Yasuo,Lucian,Blitzcrank
Kennen,Lee Sin,LeBlanc,Varus,Tahm Kench
Ryze,Lee Sin,Galio,Ashe,Tahm Kench
Vladimir,Rek'Sai,LeBlanc,Kai'Sa,Braum
Ryze,Olaf,Zoe,Jinx,Thresh
Irelia,Lee Sin,Akali,Vayne,Braum
Vladimir,Nocturne,LeBlanc,Draven,Braum
Aatrox,Kha'Zix,Ryze,Ezreal,Galio
Ryze,Olaf,LeBlanc,Ashe,Tahm Kench
Yorick,Kha'Zix,Lissandra,Draven,Braum
Aatrox,Rek'Sai,LeBlanc,Draven,Galio
Yorick,Jarvan IV,Ryze,Lucian,Braum
Akali,Kha'Zix,Galio,Lucian,Braum
Ryze,Olaf,Lissandra,Kai'Sa,Thresh
Urgot,Lee Sin,Ryze,Kalista,Galio
Jax,Kha'Zix,Lissandra,Lucian,Alistar
Aatrox,Kindred,Lissandra,Ezreal,Braum
Riven,Olaf,Galio,Vayne,Rakan
Vladimir,Lee Sin,LeBlanc,Vayne,Braum
Aatrox,Jarvan IV,Ryze,Xayah,Shen
Lissandra,Rek'Sai,LeBlanc,Lucian,Bard
Ryze,Lee Sin,Zoe,Ezreal,Braum
Jayce,Gragas,Akali,Ashe,Tahm Kench
Irelia,Zac,Ryze,Lucian,Braum
Jayce,Lee Sin,Kennen,Varus,Tahm Kench
Lucian,Gragas,Yasuo,Sivir,Thresh
Lissandra,Gragas,Yasuo,Lucian,Shen
Aatrox,Xin Zhao,Corki,Tristana,Galio
Fiora,Nocturne,Lissandra,Vladimir,Rakan
Aatrox,Jarvan IV,Zoe,Kai'Sa,Alistar
Jayce,Gragas,Yasuo,Lucian,Nautilus
Vladimir,Jarvan IV,Akali,Ezreal,Galio
Aatrox,Rek'Sai,Zoe,Kai'Sa,Galio
Fiora,Jarvan IV,Lissandra,Draven,Braum
Neeko,Zac,Lissandra,Vayne,Braum
Ryze,Xin Zhao,Zoe,Lucian,Galio
Ryze,Nocturne,Corki,Lucian,Galio
Neeko,Jarvan IV,Lissandra,Vayne,Braum
Urgot,Elise,Irelia,Kalista,Galio
Ryze,Olaf,Yasuo,Lucian,Braum
Jayce,Rek'Sai,Azir,Draven,Thresh
Gnar,Taliyah,Galio,Lucian,Braum
Aatrox,Lee Sin,Zoe,Ashe,Alistar
Yorick,Elise,Yasuo,Kalista,Galio
Yorick,Jarvan IV,Corki,Kalista,Braum
Jax,Kha'Zix,Galio,Ashe,Alistar
Yorick,Rek'Sai,Vel'Koz,Kalista,Rakan
Aatrox,Lee Sin,Ryze,Tristana,Braum
Aatrox,Riven,LeBlanc,Ashe,Tahm Kench
Camille,Gragas,Yasuo,Kalista,Rakan
Jayce,Xin Zhao,Syndra,Ezreal,Tahm Kench
Ornn,Lee Sin,Zoe,Kalista,Thresh
Yorick,Lee Sin,LeBlanc,Ezreal,Bard
Irelia,Olaf,Zoe,Lucian,Braum
Yorick,Gragas,Yasuo,Kalista,Braum
Gnar,Xin Zhao,Zoe,Tristana,Galio
Gnar,Jarvan IV,Lulu,Kalista,Braum
Jayce,Gragas,Yasuo,Lucian,Galio
Jayce,Rek'Sai,Azir,Kalista,Thresh
Gnar,Jarvan IV,Orianna,Tristana,Galio
Jayce,Zac,Azir,Lucian,Braum
Yorick,Evelynn,Irelia,Kalista,Alistar
Urgot,Elise,Irelia,Kalista,Alistar
Riven,Jarvan IV,Lissandra,Lucian,Braum
Aatrox,Lee Sin,LeBlanc,Tristana,Braum
Urgot,Nocturne,Zoe,Kai'Sa,Shen
Aatrox,Xin Zhao,Syndra,Ezreal,Tahm Kench
Vladimir,Lee Sin,Lissandra,Vayne,Galio
Aatrox,Lee Sin,Sylas,Lucian,Alistar
Karma,Jarvan IV,Corki,Kalista,Galio
Aatrox,Jarvan IV,Lissandra,Tristana,Galio
Vayne,Sejuani,Vladimir,Sivir,Braum
Sylas,Jax,Ryze,Ashe,Tahm Kench
Viktor,Jarvan IV,Yasuo,Lucian,Braum
Vladimir,Rek'Sai,Zoe,Xayah,Thresh
Sylas,Nocturne,LeBlanc,Ezreal,Braum
Yorick,Olaf,LeBlanc,Ashe,Braum
Irelia,Riven,Sylas,Ezreal,Tahm Kench
Vladimir,Jarvan IV,Lissandra,Sivir,Tahm Kench
Yorick,Aatrox,Zilean,Kalista,Alistar
Vladimir,Aatrox,Karma,Xayah,Rakan
Jayce,Lee Sin,LeBlanc,Sivir,Alistar
