Jayce,Rek'Sai,Syndra,Kai'Sa,Leona
Vladimir,Lee Sin,Ryze,Draven,Tahm Kench
Jayce,Sejuani,Ryze,Kai'Sa,Braum
Sion,Lee Sin,Syndra,Varus,Fiddlesticks
Ryze,Xin Zhao,Zoe,Xayah,Rakan
Ornn,Nocturne,Lissandra,Kai'Sa,Braum
Renekton,Sejuani,Sylas,Lucian,Braum
Hecarim,Lee Sin,Lissandra,Varus,Tahm Kench
Hecarim,Rek'Sai,LeBlanc,Varus,Braum
Sylas,Lee Sin,Corki,Lucian,Galio
Kennen,Urgot,Sylas,Ezreal,Braum
Akali,Rek'Sai,Renekton,Kai'Sa,Galio
Vladimir,Olaf,Sylas,Lucian,Braum
Irelia,Kindred,Lissandra,Kai'Sa,Galio
Jayce,Olaf,Zoe,Kalista,Braum
Vladimir,Rek'Sai,Syndra,Varus,Nautilus
Kennen,Urgot,Akali,Varus,Braum
Viktor,Rek'Sai,Cassiopeia,Kalista,Galio
Ryze,Lee Sin,Akali,Kog'Maw,Braum
Gangplank,Gragas,Jayce,Varus,Morgana
Jayce,Olaf,Corki,Kalista,Thresh
Ryze,Rek'Sai,LeBlanc,Kai'Sa,Galio
Vladimir,Jarvan IV,Cassiopeia,Kog'Maw,Braum
Gangplank,Elise,LeBlanc,Varus,Galio
Poppy,Nocturne,Ryze,Kog'Maw,Braum
Jayce,Rek'Sai,Malzahar,Varus,Bard
Kennen,Rek'Sai,Ryze,Varus,Braum
Yorick,Lee Sin,Zoe,Ashe,Galio
Sylas,Kindred,Syndra,Ashe,Braum
Renekton,Olaf,Ryze,Kalista,Galio
Kennen,Olaf,Morgana,Kalista,Braum
Ryze,Rek'Sai,Corki,Varus,Tahm Kench
Vladimir,Jarvan IV,Taliyah,Vayne,Braum
Sion,Lee Sin,Corki,Kai'Sa,Morgana
Swain,Kindred,Karma,Kai'Sa,Galio
Renekton,Jarvan IV,Orianna,Vayne,Braum
Vladimir,Gragas,Jayce,Varus,Morgana
Sion,Lee Sin,Lulu,Kai'Sa,Alistar
Ornn,Taliyah,Syndra,Vayne,Alistar
Kayle,Lee Sin,Zoe,Kai'Sa,Gragas
Swain,Rek'Sai,Lissandra,Vayne,Galio
Kennen,Lee Sin,Sion,Kai'Sa,Alistar
Hecarim,Lee Sin,Lissandra,Vayne,Galio
Jayce,Xin Zhao,Syndra,Kai'Sa,Alistar
Kennen,Lee Sin,Azir,Kai'Sa,Alistar
Hecarim,Olaf,Syndra,Xayah,Morgana
Ornn,Rek'Sai,Taliyah,Xayah,Rakan
Kennen,Lee Sin,Syndra,Kai'Sa,Leona
Swain,Rek'Sai,Jayce,Kai'Sa,Braum
Gnar,Olaf,LeBlanc,Sivir,Morgana
Sion,Nidalee,Jayce,Xayah,Rakan
Akali,Gragas,Irelia,Vayne,Alistar
Cassiopeia,Olaf,Lissandra,Kai'Sa,Galio
Kayle,Jarvan IV,Corki,Lucian,Braum
Yorick,Olaf,LeBlanc,Vayne,Braum
Gnar,Jarvan IV,Syndra,Kai'Sa,Fiddlesticks
Poppy,Olaf,Morgana,Kai'Sa,Thresh
Gangplank,Jarvan IV,LeBlanc,Vayne,Alistar
Yorick,Jarvan IV,Lissandra,Vayne,Braum
Vladimir,Skarner,Ryze,Kai'Sa,Rakan
Kennen,Nocturne,Galio,Kai'Sa,Rakan
Jayce,Rek'Sai,Lissandra,Vayne,Braum
